,Date,Finish,Length,Length(km),Race_ID,Stage#,Stage_Name,Stage_Type,Start,url
2369,2015-06-28,Mirna Peč,178.3,,1098,0,National Championships Slovenia - Road Race 2015,PRL,Mirna Peč,race/nc-slovenia/2015
2370,2015-06-28,Caceres,189.5,,1099,0,National Championships Spain - Road Race 2015,PRL,Caceres,race/nc-spain/2015
2371,2015-06-28,Sollerön,191.0,,1100,0,National Championships Sweden - Road Race 2015,PRL,Sollerön,race/nc-sweden/2015
2372,2015-06-28,Steinmaur,0.0,,1101,0,National Championships Switzerland - Road Race 2015,PRL,Steinmaur,race/nc-switserland/2015
2373,2015-06-28,Tarashcha,235.0,,1102,0,National Championships Ukraine - Road Race 2015,PRL,Tarashcha,race/nc-ukraine/2015
2374,2015-06-28,Tirana,136.0,,1103,0,National Championships Albania U23 - Road Race 2015,PRL,Tirana,race/nc-albania-u23/2015
2375,2015-06-28,Finish,0.0,,1104,0,National Championships Belarus U23 - Road Race 2015,PRL,Start,race/nc-belarus-u23/2015
2376,2015-06-28,Finish,176.5,,1105,0,National Championships Italy U23 - Road Race 2015,PRL,Start,race/nc-italy-u23/2015
2377,2015-06-28,Miercurea Ciuc,153.45,,1106,0,National Championships Romania U23 - Road Race 2015,PRL,Miercurea Ciuc,race/nc-romania-u23/2015
2378,2015-07-01,Sibiu,2.3,,1107,1,Sibiu Cycling Tour 2015 | Prologue,RR,Sibiu,https://www.procyclingstats.com/race/sibiu-cycling-tour/2015/prologue
2379,2015-07-02,Sibiu,215.9,,1107,2,Sibiu Cycling Tour 2015 | Stage 1,PRL,Sibiu,https://www.procyclingstats.com/race/sibiu-cycling-tour/2015/stage-1
2380,2015-07-03,Paltinis,154.4,,1107,3,Sibiu Cycling Tour 2015 | Stage 2,PRL,Sibiu,https://www.procyclingstats.com/race/sibiu-cycling-tour/2015/stage-2
2381,2015-07-04,Bâlea Lac,162.5,,1107,4,Sibiu Cycling Tour 2015 | Stage 3,PRL,Sibiu,https://www.procyclingstats.com/race/sibiu-cycling-tour/2015/stage-3
2382,2015-07-05,Sibiu,144.9,,1107,5,Sibiu Cycling Tour 2015 | Stage 4,PRL,Sibiu,https://www.procyclingstats.com/race/sibiu-cycling-tour/2015/stage-4
2383,2015-07-01,Lublin,126.0,,1108,1,Course Cycliste de Solidarnosc et des Champions Olympiques 2015 | Stage 1,PRL,Lublin,https://www.procyclingstats.com/race/course-cycliste-de-solidarnosc/2015/stage-1
2384,2015-07-01,Krosno,87.8,,1108,2,Course Cycliste de Solidarnosc et des Champions Olympiques 2015 | Stage 2,PRL,Strzyzow,https://www.procyclingstats.com/race/course-cycliste-de-solidarnosc/2015/stage-2
2385,2015-07-02,Jaworzno,189.2,,1108,3,Course Cycliste de Solidarnosc et des Champions Olympiques 2015 | Stage 3,PRL,Nowy Sacz,https://www.procyclingstats.com/race/course-cycliste-de-solidarnosc/2015/stage-3
2386,2015-07-03,Kielce,154.0,,1108,4,Course Cycliste de Solidarnosc et des Champions Olympiques 2015 | Stage 4,PRL,Solec-Zdroj,https://www.procyclingstats.com/race/course-cycliste-de-solidarnosc/2015/stage-4
2387,2015-07-04,Lodz,180.9,,1108,5,Course Cycliste de Solidarnosc et des Champions Olympiques 2015 | Stage 5,PRL,Radomsko,https://www.procyclingstats.com/race/course-cycliste-de-solidarnosc/2015/stage-5
2388,2015-07-04,Wien,5.4,,1109,1,Int. Österreich-Rundfahrt-Tour of Austria 2015 | Prologue,RR,Wien,https://www.procyclingstats.com/race/tour-of-austria/2015/prologue
2389,2015-07-05,Scheibbs,206.6,,1109,2,Int. Österreich-Rundfahrt-Tour of Austria 2015 | Stage 1,PRL,Mörbisch,https://www.procyclingstats.com/race/tour-of-austria/2015/stage-1
2390,2015-07-06,Grieskirchen,196.2,,1109,3,Int. Österreich-Rundfahrt-Tour of Austria 2015 | Stage 2,PRL,Litschau,https://www.procyclingstats.com/race/tour-of-austria/2015/stage-2
2391,2015-07-07,Judendorf/Straßengel,181.1,,1109,4,Int. Österreich-Rundfahrt-Tour of Austria 2015 | Stage 3,PRL,Windischgarsten,https://www.procyclingstats.com/race/tour-of-austria/2015/stage-3
