,rider_url
627,edoardo-zardini
636,benoit-jarrier
637,clement-koretzky
638,merhawi-kudus
640,benjamin-le-montagner
643,pierre-luc-perichon
644,fabrice-seigneur
653,ruben-fernandez
655,omar-fraile
659,ruben-martinez-gonzalez
664,diego-rubio
665,ibai-salas
668,josef-cerny
669,pawel-charucki
670,piotr-gawronski
671,adrian-honkisz
672,tomasz-kiendys
675,bartlomiej-matysiak
676,nikolay-mihaylov
678,mateusz-nowak-1
679,lukasz-owsian
680,davide-rebellin
681,marek-rutkiewicz
682,grzegorz-stepniak
683,mateusz-taciak
687,chad-beyer
689,gregory-brenes
691,fu-shiu-cheung
692,chun-kai-feng
695,chan-jae-jang
700,ryota-nishizono
704,fabian-schnaidt
705,dion-smith
706,wang-yip-tang
721,gert-joeaar
723,philip-lavery
735,clement-venturini
736,louis-verhelst
743,frans-claes
745,tom-david
754,christophe-premont
756,stijn-steels
757,klaas-sys
758,pieter-vanherck
761,kevin-verwaest
762,marcel-aregger
768,jonathan-fumeaux
775,pirmin-lang
779,alexandr-pliuschin
780,sebastien-reichenbach
782,patrick-schelling
786,frekalsi-debesay
787,tsgabu-gebremaryam-grmay
788,jacques-janse-van-rensburg
789,songezo-jim
791,louis-meintjes
792,adrien-niyonshuti
794,bradley-potgieter
795,youcef-reguigui
796,martin-reimer
797,meron-russom
798,kristian-sbaragli
799,andreas-stauff
800,jani-tewelde
802,dennis-van-niekerk
803,johann-van-zyl
804,jaco-venter
805,martin-wesemann
806,mikhail-akimov
807,igor-boev
810,alexander-foliforov
813,pavel-kochetkov
821,sergey-pomoshnikov
822,alexander-rybakov
825,andrei-solomennikov
826,gennadiy-tatarinov
829,maxime-daniel
835,julien-guay
847,fabien-schmidt
849,edvaldas-siskevicius
853,juan-esteban-arango
855,edwin-avila
856,julio-alexis-camacho
859,marco-corti
873,natnael-berhane
878,bryan-coquard
887,morgan-lamoisson
890,julien-morice
903,iker-camano
905,zakkari-dempster
906,russell-downing
912,ralf-matzka
913,jonathan-mcevoy
914,jose-mendes
915,erick-rowsell
919,scott-thwaites
920,paul-voss
921,alexander-wetterhall
923,andrea-ciacchini
924,stephen-clancy
925,paolo-cravanzola
926,kevin-de-mesmaeker
928,joonas-henttala
931,justin-stuart-morris
932,andrea-peron
933,aaron-perry
934,thomas-raeymaekers
935,branden-russell
936,andrei-strelkov
938,christopher-williams
941,jasper-de-buyst
946,sander-helven
948,yves-lampaert
958,kenneth-van-bilsen
964,carlos-eduardo-alzate
971,lucas-euser
976,martyn-irvine
979,luke-keough
982,john-murphy
988,ramon-carretero
995,airan-fernandez
996,mauro-finetto
1002,michele-merlo
1003,luigi-miletta
1006,mattia-pozzo
1009,junya-sano
1011,riccardo-stacchiotti
1012,luca-sterbini
5,francois-bidard
11,nico-denz
17,alexis-gougeard
35,maxat-ayazbayev
38,ilya-davidenok
40,daniil-fominykh
54,bakhtiyar-kozhatayev
89,martijn-tusveld
90,nick-van-der-lijke
101,luke-davison
121,dylan-teuns
125,loic-vliegen
128,rick-zabel
131,alberto-bettiol
136,davide-formolo
146,matej-mohoric
175,lorrenzo-manzin
176,guillaume-martin
184,marc-sarreau
190,janier-alexis-acevedo
192,nathan-brown
200,phillip-gaimon
201,dylan-girdlestone
203,lasse-norman-hansen
209,gavin-mannion
217,dylan-van-baarle
244,andrea-vaccher
251,tiesj-benoot
253,vegard-breen
255,sean-de-bie
266,xandro-meurisse
268,oliver-naesen
271,boris-vallee
277,louis-vervaeke
298,dayer-quintana-rojas
302,jasha-sutterlin
307,julian-alaphilippe
331,petr-vakoc
341,magnus-cort-nielsen
344,caleb-ewan
360,nino-schurter
363,simon-yates
364,adam-yates
368,romain-cardis
370,jeremy-cornu
372,dan-craven
382,taruia-krainer
385,yannick-martinez
400,lawson-craddock
410,chad-haga
415,steven-lammertink
416,sea-keong-loh
418,fredrik-ludvigsson
430,sven-erik-bystrom
464,nathan-earle
469,sebastian-henao
487,edward-beltran
492,rasmus-guldhammer
496,michael-kolar
515,michael-valgren-andersen
517,eugenio-alafaci
518,julian-david-arredondo
522,clement-chevrier
